Team ID,Team,Scores,Goals,One Point Goals,Two Point Goals,Assists,Shots,Shot Pct,Two Point Shots,Two Point Shot Pct,SOG,SOG Pct,Two Point SOG,Groundballs,Turnovers,Caused Turnovers,Faceoff Pct,Faceoffs Won,Faceoffs Lost,Saves,Save Pct,SAA,Penalties,PIM,Two Point Goals Against,Two Point GAA,Power Plays,Power Play Pct,Power Play Goals,Power Play Shots,Times Short Handed,Penalty Kill Pct,Power Play Goals Against,Passes
ARC,Archers,130,123,116,7,75,386,0.31865284974093266,39,0.1794871794871795,268,0.694300518134715,27,289,146,76,0.37969924812030076,101,163,106,0.5023696682464455,11,28,,5,,,0.4074074074074074,11,22,29,0.6206896551724138,11,2259
WAT,Waterdogs,130,122,114,8,73,440,0.2772727272727273,43,0.18604651162790697,275,0.625,25,314,150,78,0.4103448275862069,119,167,119,0.4798387096774194,13.3,24,,4,,,0.36363636363636365,8,23,23,0.43478260869565216,13,1954
ATL,Atlas,128,115,102,13,72,395,0.2911392405063291,52,0.25,252,0.6379746835443038,29,323,177,62,0.6311787072243346,166,97,132,0.5477178423236515,11.9,30,,10,,,0.4117647058823529,7,23,28,0.6785714285714286,9,2011
CHR,Chrome,120,117,114,3,70,371,0.31536388140161725,19,0.15789473684210525,245,0.660377358490566,12,330,168,71,0.5515873015873016,139,112,112,0.5384615384615384,10.2,25,,6,,,0.3103448275862069,9,17,21,0.7619047619047619,5,2322
WHP,Whipsnakes,118,111,104,7,59,419,0.2649164677804296,41,0.17073170731707318,254,0.6062052505966588,26,318,176,57,0.6265560165975104,151,89,125,0.5813953488372093,9.8,15,,8,,,0.3888888888888889,7,20,15,0.6666666666666666,5,1961
RED,Redwoods,114,105,96,9,55,375,0.28,48,0.1875,235,0.6266666666666667,27,281,167,75,0.5171102661596958,136,124,92,0.43601895734597157,12.4,22,,5,,,0.4166666666666667,10,24,19,0.7368421052631579,5,1940
CAN,Cannons,111,109,107,2,55,394,0.2766497461928934,29,0.06896551724137931,255,0.6472081218274112,14,301,161,64,0.45907473309608543,129,152,132,0.4981132075471698,14,27,,7,,,0.13043478260869565,3,23,26,0.6153846153846154,10,1924
CHA,Chaos,101,97,93,4,58,316,0.3069620253164557,38,0.10526315789473684,205,0.6487341772151899,20,263,176,53,0.4251968503937008,108,145,137,0.5372549019607843,12.6,25,,8,,,0.5217391304347826,12,22,22,0.5909090909090909,9,2029
